                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3326,                 1.2381,                 1.4283,                0.48091,                 0.4674,                0.46609,                0.16123,                 2.2181,                 2.1687,                 1.9773,              0.0011857,              0.0011857,              0.0011857
                     45,                 1.3264,                 1.1758,                  1.417,                0.36151,                0.37648,                0.30214,                0.12793,                 2.1944,                 2.3423,                  1.985,                0.00118,                0.00118,                0.00118
                     46,                 1.4327,                  1.307,                 1.4663,                0.29487,                0.35932,                0.22936,                0.06986,                 2.5442,                 2.9745,                 2.3469,              0.0011744,              0.0011744,              0.0011744
                     47,                 1.3766,                 1.3394,                 1.4625,                 0.4496,                0.46389,                0.44496,                0.15693,                 2.1478,                 2.1091,                 1.9676,              0.0011687,              0.0011687,              0.0011687
                     48,                 1.3186,                 1.2128,                 1.4086,                0.47822,                0.51483,                0.49027,                0.18569,                 2.1431,                 1.8304,                 2.0097,               0.001163,               0.001163,               0.001163
                     49,                 1.3134,                 1.1946,                  1.417,                0.52114,                0.42568,                0.47802,                0.19492,                 2.1332,                 1.9918,                 1.9749,              0.0011574,              0.0011574,              0.0011574
                     50,                 1.3718,                 1.2766,                 1.4874,                0.53933,                0.49609,                0.50173,                0.21042,                 2.0695,                 2.1843,                 1.9308,              0.0011517,              0.0011517,              0.0011517
                     51,                 1.2894,                 1.1828,                 1.4155,                0.52464,                0.12085,                0.12325,                0.03373,                 2.7077,                 3.5587,                 2.3904,              0.0011461,              0.0011461,              0.0011461
                     52,                 1.3477,                 1.2375,                 1.4239,                0.30695,                0.42329,                0.31651,                0.11234,                 2.3337,                 2.4243,                 2.1202,              0.0011404,              0.0011404,              0.0011404
                     53,                 1.2849,                 1.1511,                 1.3993,                0.47525,                0.47501,                0.46585,                0.19318,                 2.1043,                 2.0455,                 2.0302,              0.0011347,              0.0011347,              0.0011347
                     54,                 1.3173,                 1.1725,                 1.3906,                0.51881,                0.59157,                 0.5276,                0.20633,                 2.1087,                 1.9206,                 1.9865,              0.0011291,              0.0011291,              0.0011291
                     55,                 1.3268,                 1.1508,                 1.3859,                0.39027,                0.52392,                0.45188,                0.16006,                  2.324,                 2.0042,                 2.0738,              0.0011234,              0.0011234,              0.0011234
                     56,                 1.3175,                 1.1429,                 1.4235,                0.37585,                0.33636,                0.29951,                0.09911,                 2.4512,                  5.443,                 2.2938,              0.0011178,              0.0011178,              0.0011178
                     57,                 1.3079,                 1.1394,                 1.3921,                0.48447,                 0.4319,                0.44626,                0.17758,                 2.1273,                 2.3081,                 2.0076,              0.0011121,              0.0011121,              0.0011121
                     58,                 1.2201,                 1.0532,                 1.3589,                0.45864,                0.36625,                0.41307,                0.19264,                 2.1595,                 2.2307,                 2.0363,              0.0011064,              0.0011064,              0.0011064
                     59,                 1.2907,                 1.0916,                 1.3987,                0.58779,                0.48008,                 0.4818,                0.20233,                 2.1545,                 2.1798,                 1.9794,              0.0011008,              0.0011008,              0.0011008
                     60,                 1.3438,                 1.1554,                 1.4212,                0.49176,                0.50284,                0.43714,                0.19184,                 2.1023,                 2.2104,                 1.9607,              0.0010951,              0.0010951,              0.0010951
                     61,                 1.3081,                 1.1715,                 1.4106,                 0.3803,                 0.4815,                0.43395,                0.17681,                 2.0835,                 2.2982,                  1.912,              0.0010895,              0.0010895,              0.0010895
                     62,                 1.2774,                 1.1307,                 1.3812,                0.47832,                0.54271,                0.51051,                0.22014,                 2.0278,                 1.8821,                 1.9136,              0.0010838,              0.0010838,              0.0010838
                     63,                 1.2736,                 1.0641,                 1.3761,                0.48883,                0.58522,                0.49315,                0.20711,                 2.0698,                 1.8192,                 1.9143,              0.0010782,              0.0010782,              0.0010782
                     64,                  1.254,                 1.0576,                  1.379,                 0.5304,                0.59769,                0.59878,                0.24319,                 1.9959,                 1.9842,                 1.8528,              0.0010725,              0.0010725,              0.0010725
                     65,                 1.2638,                 1.0651,                 1.3709,                 0.6928,                 0.4627,                 0.5748,                0.25327,                 2.0069,                 1.7807,                 1.8799,              0.0010668,              0.0010668,              0.0010668
                     66,                 1.2801,                 1.0716,                 1.3728,                0.55916,                0.42243,                0.42737,                0.21835,                 2.0116,                 2.1334,                  1.904,              0.0010612,              0.0010612,              0.0010612
                     67,                 1.3469,                 1.1182,                 1.4277,                0.38412,                 0.5847,                0.37717,                0.12931,                 2.2622,                 2.5636,                 2.0495,              0.0010555,              0.0010555,              0.0010555
                     68,                 1.2772,                 1.0834,                 1.3808,                0.53994,                0.56453,                0.53112,                0.22585,                  2.065,                 1.7596,                 1.9099,              0.0010499,              0.0010499,              0.0010499
                     69,                 1.2953,                 1.0545,                 1.3784,                0.49851,                0.52308,                0.45634,                0.18629,                 2.1949,                  1.948,                 2.0336,              0.0010442,              0.0010442,              0.0010442
                     70,                 1.2917,                 1.0858,                 1.3828,                0.43345,                0.51432,                0.42729,                0.18402,                 2.1462,                 2.0875,                 1.9657,              0.0010385,              0.0010385,              0.0010385
                     71,                 1.2461,                 1.0531,                 1.3725,                0.49587,                0.55522,                0.51748,                0.20382,                 2.1558,                 1.8732,                 2.0008,              0.0010329,              0.0010329,              0.0010329
                     72,                 1.2205,                 1.0151,                 1.3584,                 0.3712,                0.46969,                0.37574,                 0.1411,                 2.1759,                 2.3198,                 2.0007,              0.0010272,              0.0010272,              0.0010272
                     73,                 1.2477,                 1.0814,                 1.3794,                0.39938,                0.46095,                0.39657,                 0.1753,                 2.1303,                 2.2853,                 1.9632,              0.0010216,              0.0010216,              0.0010216
                     74,                  1.233,                  1.022,                 1.3401,                0.18972,                0.23172,                0.11762,                0.04194,                 2.4281,                 3.3531,                 2.2599,              0.0010159,              0.0010159,              0.0010159
                     75,                 1.2858,                 1.0662,                 1.3792,                 0.4262,                0.61539,                 0.4638,                0.18733,                  2.212,                  1.856,                 2.0392,              0.0010102,              0.0010102,              0.0010102
                     76,                 1.2424,                 1.0154,                 1.3603,                0.52783,                0.46269,                0.49757,                0.20888,                 2.1429,                 1.9727,                 2.0413,              0.0010046,              0.0010046,              0.0010046
                     77,                 1.2313,                 1.0438,                 1.3615,                0.56362,                0.47227,                0.48069,                0.19083,                 2.1538,                 1.9355,                 2.0777,             0.00099893,             0.00099893,             0.00099893
                     78,                 1.2998,                 1.1059,                 1.4002,                0.53335,                0.36562,                0.40323,                 0.1698,                 2.3113,                 2.4415,                 2.2235,             0.00099327,             0.00099327,             0.00099327
                     79,                 1.3291,                 1.1753,                 1.4131,                0.45622,                0.57918,                0.46806,                0.17419,                 2.1165,                 2.0664,                 1.9004,             0.00098761,             0.00098761,             0.00098761
                     80,                 1.2352,                 1.0721,                 1.3571,                0.47052,                0.66493,                0.52732,                0.21322,                 2.0465,                 1.6646,                 1.9149,             0.00098195,             0.00098195,             0.00098195
                     81,                 1.2147,                 1.0402,                 1.3603,                0.42335,                0.46001,                0.45445,                 0.2216,                 2.0996,                 1.9384,                 1.9863,             0.00097629,             0.00097629,             0.00097629
                     82,                 1.2907,                 1.0515,                 1.3749,                 0.4162,                0.53428,                0.43195,                0.16482,                 2.2461,                 1.9912,                 2.0314,             0.00097063,             0.00097063,             0.00097063
                     83,                 1.2163,                 1.0127,                 1.3765,                 0.5426,                0.38693,                 0.4706,                0.19292,                 2.1909,                 1.8865,                 2.0404,             0.00096498,             0.00096498,             0.00096498
                     84,                 1.2424,                 1.0037,                 1.3564,                0.51245,                0.38225,                0.33863,                0.12969,                 2.2921,                 2.1787,                 2.0645,             0.00095932,             0.00095932,             0.00095932
                     85,                 1.2232,                 1.0055,                 1.3412,                0.39389,                0.52765,                0.43455,                0.17257,                 2.2186,                 2.0452,                  2.062,             0.00095366,             0.00095366,             0.00095366
                     86,                 1.2774,                  1.075,                 1.4058,                0.47045,                 0.5234,                0.52344,                0.22673,                 2.1388,                 1.9379,                 1.9828,               0.000948,               0.000948,               0.000948
                     87,                 1.1936,                0.98242,                 1.3449,                0.52481,                 0.6411,                0.59205,                0.23744,                 2.1109,                 1.7166,                 1.8904,             0.00094234,             0.00094234,             0.00094234
                     88,                 1.2568,                 1.0892,                 1.3597,                0.58704,                0.54624,                0.58982,                0.24511,                 2.0364,                  1.634,                 1.9656,             0.00093668,             0.00093668,             0.00093668
                     89,                 1.2031,                0.98155,                 1.3512,                0.60061,                0.39924,                0.48924,                0.18724,                 2.1094,                 2.0429,                 1.9225,             0.00093102,             0.00093102,             0.00093102
                     90,                 1.2241,                0.97234,                 1.3282,                0.43736,                0.57597,                0.49703,                0.20897,                 2.0733,                 2.0542,                 1.9792,             0.00092536,             0.00092536,             0.00092536
                     91,                 1.2627,                  1.035,                 1.3903,                 0.4091,                0.49608,                0.45745,                0.18296,                 2.1534,                 2.0063,                 2.0309,              0.0009197,              0.0009197,              0.0009197
                     92,                 1.1771,                0.94929,                 1.3182,                 0.5547,                0.58706,                0.58453,                0.21875,                 2.0533,                 1.7432,                 1.9548,             0.00091405,             0.00091405,             0.00091405
                     93,                 1.2335,                0.98645,                 1.3479,                0.41274,                0.49588,                0.40021,                 0.1493,                 2.2001,                 2.0124,                 2.0202,             0.00090839,             0.00090839,             0.00090839
                     94,                 1.2341,                 1.0375,                 1.3435,                0.44234,                0.49165,                0.47745,                0.20185,                 2.1302,                 2.0127,                 1.9629,             0.00090273,             0.00090273,             0.00090273
                     95,                 1.2531,                 1.0178,                 1.3611,                0.46279,                 0.3158,                0.32706,                0.11978,                 2.3229,                 2.4051,                  2.192,             0.00089707,             0.00089707,             0.00089707
                     96,                 1.2591,                 1.0592,                  1.367,                0.51305,                0.49665,                0.52485,                0.19596,                 2.2015,                 1.9814,                 2.0166,             0.00089141,             0.00089141,             0.00089141
                     97,                 1.2424,                 1.0536,                 1.3715,                0.50455,                0.51097,                0.49005,                0.18929,                 2.0155,                 2.1638,                 1.8887,             0.00088575,             0.00088575,             0.00088575
                     98,                 1.2359,                 1.0125,                 1.3664,                0.48709,                0.49909,                0.51469,                0.19479,                 2.0413,                 2.0481,                 1.8893,             0.00088009,             0.00088009,             0.00088009
                     99,                 1.2311,                0.98081,                 1.3372,                0.61043,                0.59941,                0.58286,                0.23866,                 2.0163,                 1.8399,                 1.8611,             0.00087443,             0.00087443,             0.00087443
                    100,                 1.1394,                0.85866,                 1.2903,                0.52478,                0.50868,                  0.465,                0.20007,                 2.0233,                 1.8239,                  1.885,             0.00086877,             0.00086877,             0.00086877
                    101,                 1.2264,                0.94046,                 1.3252,                0.56515,                0.52164,                0.55738,                0.23576,                 2.0066,                 1.7096,                 1.7833,             0.00086312,             0.00086312,             0.00086312
                    102,                 1.1506,                0.93398,                 1.3244,                0.63544,                0.52228,                0.57271,                 0.2472,                 1.9514,                 1.7531,                 1.7923,             0.00085746,             0.00085746,             0.00085746
                    103,                  1.184,                0.93941,                 1.3421,                0.52065,                0.63133,                0.56997,                0.27758,                 1.9951,                 1.7267,                 1.8524,              0.0008518,              0.0008518,              0.0008518
                    104,                 1.2248,                 0.9775,                 1.3378,                0.56834,                0.58931,                0.55684,                0.21487,                 2.0383,                 2.4985,                 1.8347,             0.00084614,             0.00084614,             0.00084614
                    105,                   1.18,                0.92939,                 1.3264,                0.47987,                0.53059,                0.49974,                0.20352,                 2.0219,                 1.9991,                 1.9013,             0.00084048,             0.00084048,             0.00084048
                    106,                 1.1926,                0.96274,                 1.3398,                0.48844,                0.62637,                 0.5909,                 0.2571,                 1.9835,                 1.7618,                 1.7782,             0.00083482,             0.00083482,             0.00083482
                    107,                 1.1167,                0.87546,                 1.2944,                0.42758,                0.47476,                0.40464,                0.14466,                 2.2259,                 2.2473,                 2.0532,             0.00082916,             0.00082916,             0.00082916
                    108,                 1.2107,                0.93877,                 1.3303,                0.47402,                0.50956,                0.48056,                  0.206,                 2.2303,                 2.3026,                 2.0173,              0.0008235,              0.0008235,              0.0008235
                    109,                 1.1733,                0.91857,                 1.3075,                0.61058,                0.48599,                0.49539,                0.21272,                 2.0474,                 1.8934,                 1.9056,             0.00081785,             0.00081785,             0.00081785
                    110,                  1.214,                0.93707,                 1.3268,                0.57389,                0.50176,                0.54439,                0.23311,                 2.1026,                 1.7567,                 1.9082,             0.00081219,             0.00081219,             0.00081219
                    111,                 1.1675,                0.91885,                 1.3022,                0.59689,                0.43855,                0.52132,                 0.2206,                 2.0602,                  1.859,                 1.8962,             0.00080653,             0.00080653,             0.00080653
                    112,                 1.1335,                0.89795,                 1.3037,                0.55014,                 0.5499,                0.54701,                0.23295,                 2.0527,                 1.6502,                 1.8713,             0.00080087,             0.00080087,             0.00080087
